"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5808","Given I am on the landing page","","Tue Dec 10 11:59:01 IST 2024","passed","Tue Dec 10 11:59:07 IST 2024","","Register and checkout on AutomationExercise: Successful registration and product purchase","",""
"","2513","When I proceed to the checkout page","","Tue Dec 10 11:59:34 IST 2024","passed","Tue Dec 10 11:59:37 IST 2024","","Register and checkout on AutomationExercise: Successful registration and product purchase","",""
"","1","hook:","","Tue Dec 10 11:59:45 IST 2024","failed","Tue Dec 10 11:59:45 IST 2024","","","",""
"","2502","When I create an account with email and name","","Tue Dec 10 11:59:09 IST 2024","passed","Tue Dec 10 11:59:11 IST 2024","","Register and checkout on AutomationExercise: Successful registration and product purchase","",""
"","1749","When I click SignIn on the landing page","","Tue Dec 10 11:59:07 IST 2024","passed","Tue Dec 10 11:59:09 IST 2024","","Register and checkout on AutomationExercise: Successful registration and product purchase","",""
"","19","When I fetch the test case details for ""TC002""","","Tue Dec 10 11:59:07 IST 2024","passed","Tue Dec 10 11:59:07 IST 2024","","Register and checkout on AutomationExercise: Successful registration and product purchase","",""
"","18260","When I enter my personal details and click Register","","Tue Dec 10 11:59:11 IST 2024","passed","Tue Dec 10 11:59:30 IST 2024","","Register and checkout on AutomationExercise: Successful registration and product purchase","",""
"","61","Then I should see my name and surname displayed on the account page","","Tue Dec 10 11:59:30 IST 2024","passed","Tue Dec 10 11:59:30 IST 2024","","Register and checkout on AutomationExercise: Successful registration and product purchase","",""
"","4742","When I add a product to the cart","","Tue Dec 10 11:59:30 IST 2024","passed","Tue Dec 10 11:59:34 IST 2024","","Register and checkout on AutomationExercise: Successful registration and product purchase","",""
"","48","When I fetch the test case details for ""TC001""","","Tue Dec 10 11:58:25 IST 2024","passed","Tue Dec 10 11:58:25 IST 2024","","Register and checkout on AutomationExercise: Successful registration and product purchase","",""
"","8389","Then I should logoff from application","","Tue Dec 10 11:59:37 IST 2024","passed","Tue Dec 10 11:59:45 IST 2024","","Register and checkout on AutomationExercise: Successful registration and product purchase","",""
